2023-11-30 12:02:56.131 GMT [6720] LOG:  iniciando PostgreSQL 14.8, compiled by Visual C++ build 1914, 64-bit
2023-11-30 12:02:56.148 GMT [6720] LOG:  escuchando en la dirección IPv6 «::», port 5432
2023-11-30 12:02:56.148 GMT [6720] LOG:  escuchando en la dirección IPv4 «0.0.0.0», port 5432
2023-11-30 12:02:56.239 GMT [7152] LOG:  el sistema de bases de datos fue apagado en 2023-11-30 04:29:23 GMT
2023-11-30 12:02:56.333 GMT [6720] LOG:  el sistema de bases de datos está listo para aceptar conexiones
2023-11-30 20:00:53.030 GMT [13108] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-11-30 20:31:13.921 GMT [16036] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-11-30 20:33:11.174 GMT [24368] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-11-30 20:34:11.327 GMT [24376] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-11-30 20:51:32.992 GMT [19716] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-11-30 21:27:53.908 GMT [3932] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-11-30 21:27:53.909 GMT [25792] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-11-30 21:27:53.910 GMT [17808] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-11-30 21:27:53.910 GMT [5864] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-11-30 21:27:53.911 GMT [17536] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-11-30 21:30:17.011 GMT [12500] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-11-30 21:30:17.011 GMT [24580] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-11-30 22:27:54.964 GMT [2880] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-11-30 22:28:02.976 GMT [24996] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-11-30 22:28:02.976 GMT [24280] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-11-30 22:28:02.976 GMT [8592] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-11-30 22:28:02.976 GMT [23420] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-11-30 22:28:02.977 GMT [25116] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-11-30 22:28:02.977 GMT [19928] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-11-30 23:03:43.373 GMT [22364] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
